FileName,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPS_Lat_Deg,GPS_Lat_Min,GPS_Lat_Sec,latitude,GPS_Lon_Deg,GPS_Lon_Min,GPS_Lon_Sec,longitude
20190323_183932_MVIMG_JW.jpg,26.1 m Below Sea Level,Below Sea Level,,2019:03:24,2019:03:24 01:39:29Z,,,9.836,,,,"33 deg 32' 28.86"" N",North,"117 deg 46' 57.27"" W",West,"33 deg 32' 28.86"" N, 117 deg 46' 57.27"" W",33,32,28.86,33.54135,117,46,57.27,-116.217425
20190323_183959_MVIMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:24,2019:03:24 01:39:52Z,,,19.81,,,,"33 deg 32' 28.85"" N",North,"117 deg 46' 56.30"" W",West,"33 deg 32' 28.85"" N, 117 deg 46' 56.30"" W",33,32,28.85,33.54134722,117,46,56.3,-116.2176944
20190323_184035_IMG_JW.jpg,32.7 m Below Sea Level,Below Sea Level,,2019:03:24,2019:03:24 01:40:23Z,,,27.705,,,,"33 deg 32' 28.87"" N",North,"117 deg 46' 57.52"" W",West,"33 deg 32' 28.87"" N, 117 deg 46' 57.52"" W",33,32,28.87,33.54135278,117,46,57.52,-116.2173556
20190323_184557_SW.JPG,6.1 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:45:56Z,213.4115068,True North,,15.6697038 m,33.41150666,True North,"33 deg 32' 29.44"" N",North,"117 deg 46' 57.31"" W",West,"33 deg 32' 29.44"" N, 117 deg 46' 57.31"" W",33,32,29.44,33.54151111,117,46,57.31,-116.2174139
20190323_184557_SW.MOV,6.138 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W, 6.138 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.36"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W",33,32,29.4,33.5415,117,46,57.36,-116.2174
20190323_184603_SW.JPG,5.5 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:46:02Z,216.9189378,True North,,6.000906208 m,36.91893768,True North,"33 deg 32' 29.37"" N",North,"117 deg 46' 57.72"" W",West,"33 deg 32' 29.37"" N, 117 deg 46' 57.72"" W",33,32,29.37,33.54149167,117,46,57.72,-116.2173
20190323_184603_SW.MOV,5.531 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.72"" W, 5.531 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.72"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.72"" W",33,32,29.4,33.5415,117,46,57.72,-116.2173
20190323_184628_SW.JPG,8.6 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:46:27Z,221.7871094,True North,,16 m,41.78710938,True North,"33 deg 32' 29.26"" N",North,"117 deg 46' 57.28"" W",West,"33 deg 32' 29.26"" N, 117 deg 46' 57.28"" W",33,32,29.26,33.54146111,117,46,57.28,-116.2174222
20190323_184628_SW.MOV,8.649 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W, 8.649 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.36"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W",33,32,29.4,33.5415,117,46,57.36,-116.2174
20190323_185009_SW.JPG,5.9 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:50:09Z,247.4122925,True North,,8.001208277 m,247.4122925,True North,"33 deg 32' 29.26"" N",North,"117 deg 46' 57.31"" W",West,"33 deg 32' 29.26"" N, 117 deg 46' 57.31"" W",33,32,29.26,33.54146111,117,46,57.31,-116.2174139
